timestamp,openlst_header,callsign,ccsds_version,ccsds_packet_type,ccsds_secondary_header_flag,ccsds_apid,ccsds_sequence_flags,ccsds_sequence_count,ccsds_packet_length,payload_filter_bank_power_ch2,payload_filter_bank_power_ch4,payload_filter_bank_power_ch5,payload_filter_bank_power_ch6,payload_filter_bank_power_ch7,payload_filter_bank_power_ch8,payload_sdr_power,payload_sdr_bright_1,payload_sdr_bright_2,payload_sdr_bright_3,payload_sdr_bright_4,payload_sdr_bright_5,payload_sdr_bright_6,payload_sdr_bright_7,payload_sdr_bright_8,payload_sdr_bright_9,payload_sdr_bright_10,observation_time,altitude,lat,long
1728432168,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,1374,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 17:02,1437.849374776418,34.22718266935971,153.7631981944818
1728434805,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,645,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 17:46,437.6533344449904,-50.64762452,82.15769421811169
1728434835,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,647,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 17:47,437.7661881005905,-51.03305501,85.01904754137526
1728434865,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,649,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 17:47,437.8428709,-51.34105858,87.92521071464847
1728437655,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,1738,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 18:34,417.02142832406986,51.392197651498925,-103.2991301
1728437685,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,1740,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 18:34,417.1193698559319,51.60638440122324,-100.3327197
1728437715,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,1742,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 18:35,417.2038236822983,51.73859099493263,-97.34278361
1728437745,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,1744,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 18:35,417.2745537090484,51.78795980413057,-94.34041228
1728437775,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,1746,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 18:36,417.3314270817022,51.75417044170962,-91.33702244
1728437835,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,1750,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 18:37,417.4035903188402,51.43856616302716,-85.37268865
1728437866,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,1752,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 18:37,417.4194175943335,51.148103076340064,-82.33622742
1728437896,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,1754,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 18:38,417.4211634,50.786617113192996,-79.4406396
1728437926,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,1756,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 18:38,417.4099462991274,50.34827496320024,-76.59614074
1728437956,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,1758,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 18:39,417.3862459024422,49.83563557,-73.81033813
1728437986,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,1760,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 18:39,417.35063716348844,49.251552830175484,-71.08959843
1728438016,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,1762,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 18:40,417.3037870184082,48.59910759741557,-68.4390192
1728443498,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2112,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 20:11,417.3176153392228,50.301947253558396,-99.91215161
1728443530,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2114,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 20:12,417.2900338526313,49.745056478668886,-96.94926686
1728443563,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2116,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 20:12,417.24754338389346,49.08624940662284,-93.97247436
1728443595,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2118,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 20:13,417.1935743875684,48.36933872796079,-91.16820006
1728443628,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2120,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 20:13,417.1257678419206,47.55376826077769,-88.36570798
1728443660,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2122,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 20:14,417.04931848699607,46.69315334981152,-85.73763481
1728443693,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2124,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 20:14,416.96068859269883,45.73809792,-83.12116055
1728443725,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2126,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 20:15,416.86653808737873,44.75066327621397,-80.67499817
1728443888,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2136,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 20:18,416.31379510027375,38.92544089262756,-69.54547317
1728449352,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2474,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 21:49,416.2958512835851,42.813062220603385,-100.024706
1728449384,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2476,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 21:49,416.17951819514195,41.67619489189384,-97.82375639
1728449417,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2478,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 21:50,416.0572429593114,40.455780468840736,-95.64016792
1728449450,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2480,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 21:50,415.9343683,39.190271631193006,-93.54051812
1728449483,1073741824,KE7DHQ,0,FALSE,FALSE,3,2,2482,27,255,255,255,255,255,255,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,10/8/2024 21:51,415.81270312300063,37.88315569,-91.52092301
